left_entity,left_class,relation,right_entity,right_class,context
Hermione,Q5,P7047,Basilisk,Q1274979,"In her second year, Hermione had a key role in the discovery of the Chamber of Secrets, before falling victim to the Basilisk unleashed upon Hogwarts following the opening of the Chamber. However, she recovered from the petrification under the care of Madam Pomfrey with Professor Sprout's Mandrake Restorative Draught. The next year, Hermione was granted permission to use a Time-Turner from the Ministry of Magic to facilitate her volition to study far more subjects than were possible without time travel, though she and Harry later used it to rescue Sirius Black from the Dementor's Kiss and Buckbeak the hippogriff from execution."
Hermione,Q5,P533,petrification,Q1190554,"In her second year, Hermione had a key role in the discovery of the Chamber of Secrets, before falling victim to the Basilisk unleashed upon Hogwarts following the opening of the Chamber. However, she recovered from the petrification under the care of Madam Pomfrey with Professor Sprout's Mandrake Restorative Draught. The next year, Hermione was granted permission to use a Time-Turner from the Ministry of Magic to facilitate her volition to study far more subjects than were possible without time travel, though she and Harry later used it to rescue Sirius Black from the Dementor's Kiss and Buckbeak the hippogriff from execution."
Madam Pomfrey,Q5,P2546,Hermione,Q5,"In her second year, Hermione had a key role in the discovery of the Chamber of Secrets, before falling victim to the Basilisk unleashed upon Hogwarts following the opening of the Chamber. However, she recovered from the petrification under the care of Madam Pomfrey with Professor Sprout's Mandrake Restorative Draught. The next year, Hermione was granted permission to use a Time-Turner from the Ministry of Magic to facilitate her volition to study far more subjects than were possible without time travel, though she and Harry later used it to rescue Sirius Black from the Dementor's Kiss and Buckbeak the hippogriff from execution."
Madam Pomfrey,Q5,P2283,Mandrake Restorative Draught,Q223557,"In her second year, Hermione had a key role in the discovery of the Chamber of Secrets, before falling victim to the Basilisk unleashed upon Hogwarts following the opening of the Chamber. However, she recovered from the petrification under the care of Madam Pomfrey with Professor Sprout's Mandrake Restorative Draught. The next year, Hermione was granted permission to use a Time-Turner from the Ministry of Magic to facilitate her volition to study far more subjects than were possible without time travel, though she and Harry later used it to rescue Sirius Black from the Dementor's Kiss and Buckbeak the hippogriff from execution."
petrification,Q1190554,P1534,Madam Pomfrey,Q5,"In her second year, Hermione had a key role in the discovery of the Chamber of Secrets, before falling victim to the Basilisk unleashed upon Hogwarts following the opening of the Chamber. However, she recovered from the petrification under the care of Madam Pomfrey with Professor Sprout's Mandrake Restorative Draught. The next year, Hermione was granted permission to use a Time-Turner from the Ministry of Magic to facilitate her volition to study far more subjects than were possible without time travel, though she and Harry later used it to rescue Sirius Black from the Dementor's Kiss and Buckbeak the hippogriff from execution."
petrification,Q1190554,P1534,Mandrake Restorative Draught,Q223557,"In her second year, Hermione had a key role in the discovery of the Chamber of Secrets, before falling victim to the Basilisk unleashed upon Hogwarts following the opening of the Chamber. However, she recovered from the petrification under the care of Madam Pomfrey with Professor Sprout's Mandrake Restorative Draught. The next year, Hermione was granted permission to use a Time-Turner from the Ministry of Magic to facilitate her volition to study far more subjects than were possible without time travel, though she and Harry later used it to rescue Sirius Black from the Dementor's Kiss and Buckbeak the hippogriff from execution."
petrification,Q1190554,P1534,Professor Sprout,Q5,"In her second year, Hermione had a key role in the discovery of the Chamber of Secrets, before falling victim to the Basilisk unleashed upon Hogwarts following the opening of the Chamber. However, she recovered from the petrification under the care of Madam Pomfrey with Professor Sprout's Mandrake Restorative Draught. The next year, Hermione was granted permission to use a Time-Turner from the Ministry of Magic to facilitate her volition to study far more subjects than were possible without time travel, though she and Harry later used it to rescue Sirius Black from the Dementor's Kiss and Buckbeak the hippogriff from execution."
Hermione,Q5,P2283,Time-Turner,Q223557,"In her second year, Hermione had a key role in the discovery of the Chamber of Secrets, before falling victim to the Basilisk unleashed upon Hogwarts following the opening of the Chamber. However, she recovered from the petrification under the care of Madam Pomfrey with Professor Sprout's Mandrake Restorative Draught. The next year, Hermione was granted permission to use a Time-Turner from the Ministry of Magic to facilitate her volition to study far more subjects than were possible without time travel, though she and Harry later used it to rescue Sirius Black from the Dementor's Kiss and Buckbeak the hippogriff from execution."
Hermione,Q5,P2650,study far more subjects,Q26256810,"In her second year, Hermione had a key role in the discovery of the Chamber of Secrets, before falling victim to the Basilisk unleashed upon Hogwarts following the opening of the Chamber. However, she recovered from the petrification under the care of Madam Pomfrey with Professor Sprout's Mandrake Restorative Draught. The next year, Hermione was granted permission to use a Time-Turner from the Ministry of Magic to facilitate her volition to study far more subjects than were possible without time travel, though she and Harry later used it to rescue Sirius Black from the Dementor's Kiss and Buckbeak the hippogriff from execution."
Hermione,Q5,P2546,Harry,Q5,"In her second year, Hermione had a key role in the discovery of the Chamber of Secrets, before falling victim to the Basilisk unleashed upon Hogwarts following the opening of the Chamber. However, she recovered from the petrification under the care of Madam Pomfrey with Professor Sprout's Mandrake Restorative Draught. The next year, Hermione was granted permission to use a Time-Turner from the Ministry of Magic to facilitate her volition to study far more subjects than were possible without time travel, though she and Harry later used it to rescue Sirius Black from the Dementor's Kiss and Buckbeak the hippogriff from execution."
Hermione,Q5,P1344,rescue Sirius Black from the Dementor's Kiss and Buckbeak the hippogriff from execution,Q1190554,"In her second year, Hermione had a key role in the discovery of the Chamber of Secrets, before falling victim to the Basilisk unleashed upon Hogwarts following the opening of the Chamber. However, she recovered from the petrification under the care of Madam Pomfrey with Professor Sprout's Mandrake Restorative Draught. The next year, Hermione was granted permission to use a Time-Turner from the Ministry of Magic to facilitate her volition to study far more subjects than were possible without time travel, though she and Harry later used it to rescue Sirius Black from the Dementor's Kiss and Buckbeak the hippogriff from execution."
Buckbeak the hippogriff,Q1274979,P533,execution,Q1190554,"In her second year, Hermione had a key role in the discovery of the Chamber of Secrets, before falling victim to the Basilisk unleashed upon Hogwarts following the opening of the Chamber. However, she recovered from the petrification under the care of Madam Pomfrey with Professor Sprout's Mandrake Restorative Draught. The next year, Hermione was granted permission to use a Time-Turner from the Ministry of Magic to facilitate her volition to study far more subjects than were possible without time travel, though she and Harry later used it to rescue Sirius Black from the Dementor's Kiss and Buckbeak the hippogriff from execution."
Sirius Black,Q5,P533,Dementor's Kiss,Q1190554,"In her second year, Hermione had a key role in the discovery of the Chamber of Secrets, before falling victim to the Basilisk unleashed upon Hogwarts following the opening of the Chamber. However, she recovered from the petrification under the care of Madam Pomfrey with Professor Sprout's Mandrake Restorative Draught. The next year, Hermione was granted permission to use a Time-Turner from the Ministry of Magic to facilitate her volition to study far more subjects than were possible without time travel, though she and Harry later used it to rescue Sirius Black from the Dementor's Kiss and Buckbeak the hippogriff from execution."
Ministry of Magic,Q5,P2546,Hermione,Q5,"In her second year, Hermione had a key role in the discovery of the Chamber of Secrets, before falling victim to the Basilisk unleashed upon Hogwarts following the opening of the Chamber. However, she recovered from the petrification under the care of Madam Pomfrey with Professor Sprout's Mandrake Restorative Draught. The next year, Hermione was granted permission to use a Time-Turner from the Ministry of Magic to facilitate her volition to study far more subjects than were possible without time travel, though she and Harry later used it to rescue Sirius Black from the Dementor's Kiss and Buckbeak the hippogriff from execution."
Hermione Jean Granger ,Q5,P106,Minister,Q28640,"Minister Hermione Jean Granger (b. 19 September 1979) was an English Muggle-born witch born to Mr and Mrs Granger. At the age of eleven, she learned about her magical nature and was accepted into Hogwarts School of Witchcraft and Wizardry. Hermione began attending Hogwarts in 1991 and was Sorted into Gryffindor House. She possessed a brilliant academic mind and proved to be a gifted student in almost every subject that she studied, to the point where she was nearly made a Ravenclaw by the Sorting Hat."
Hermione Jean Granger ,Q5,P569,b. 19 September 1979,Q1190554,"Minister Hermione Jean Granger (b. 19 September 1979) was an English Muggle-born witch born to Mr and Mrs Granger. At the age of eleven, she learned about her magical nature and was accepted into Hogwarts School of Witchcraft and Wizardry. Hermione began attending Hogwarts in 1991 and was Sorted into Gryffindor House. She possessed a brilliant academic mind and proved to be a gifted student in almost every subject that she studied, to the point where she was nearly made a Ravenclaw by the Sorting Hat."
Hermione Jean Granger ,Q5,P27,English,Q105673273,"Minister Hermione Jean Granger (b. 19 September 1979) was an English Muggle-born witch born to Mr and Mrs Granger. At the age of eleven, she learned about her magical nature and was accepted into Hogwarts School of Witchcraft and Wizardry. Hermione began attending Hogwarts in 1991 and was Sorted into Gryffindor House. She possessed a brilliant academic mind and proved to be a gifted student in almost every subject that she studied, to the point where she was nearly made a Ravenclaw by the Sorting Hat."
Hermione Jean Granger ,Q5,P172,Muggle-born,Q105673273,"Minister Hermione Jean Granger (b. 19 September 1979) was an English Muggle-born witch born to Mr and Mrs Granger. At the age of eleven, she learned about her magical nature and was accepted into Hogwarts School of Witchcraft and Wizardry. Hermione began attending Hogwarts in 1991 and was Sorted into Gryffindor House. She possessed a brilliant academic mind and proved to be a gifted student in almost every subject that she studied, to the point where she was nearly made a Ravenclaw by the Sorting Hat."
Hermione Jean Granger ,Q5,P361,witch,Q105673273,"Minister Hermione Jean Granger (b. 19 September 1979) was an English Muggle-born witch born to Mr and Mrs Granger. At the age of eleven, she learned about her magical nature and was accepted into Hogwarts School of Witchcraft and Wizardry. Hermione began attending Hogwarts in 1991 and was Sorted into Gryffindor House. She possessed a brilliant academic mind and proved to be a gifted student in almost every subject that she studied, to the point where she was nearly made a Ravenclaw by the Sorting Hat."
Hermione Jean Granger ,Q5,P8810,Mr and Mrs Granger,Q5,"Minister Hermione Jean Granger (b. 19 September 1979) was an English Muggle-born witch born to Mr and Mrs Granger. At the age of eleven, she learned about her magical nature and was accepted into Hogwarts School of Witchcraft and Wizardry. Hermione began attending Hogwarts in 1991 and was Sorted into Gryffindor House. She possessed a brilliant academic mind and proved to be a gifted student in almost every subject that she studied, to the point where she was nearly made a Ravenclaw by the Sorting Hat."
Hermione Jean Granger ,Q5,P1344,learned about her magical nature,Q1190554,"Minister Hermione Jean Granger (b. 19 September 1979) was an English Muggle-born witch born to Mr and Mrs Granger. At the age of eleven, she learned about her magical nature and was accepted into Hogwarts School of Witchcraft and Wizardry. Hermione began attending Hogwarts in 1991 and was Sorted into Gryffindor House. She possessed a brilliant academic mind and proved to be a gifted student in almost every subject that she studied, to the point where she was nearly made a Ravenclaw by the Sorting Hat."
Hermione Jean Granger ,Q5,P1344,was accepted into Hogwarts School of Witchcraft and Wizardry,Q1190554,"Minister Hermione Jean Granger (b. 19 September 1979) was an English Muggle-born witch born to Mr and Mrs Granger. At the age of eleven, she learned about her magical nature and was accepted into Hogwarts School of Witchcraft and Wizardry. Hermione began attending Hogwarts in 1991 and was Sorted into Gryffindor House. She possessed a brilliant academic mind and proved to be a gifted student in almost every subject that she studied, to the point where she was nearly made a Ravenclaw by the Sorting Hat."
Hermione,Q5,P69,Hogwarts,Q43229,"Minister Hermione Jean Granger (b. 19 September 1979) was an English Muggle-born witch born to Mr and Mrs Granger. At the age of eleven, she learned about her magical nature and was accepted into Hogwarts School of Witchcraft and Wizardry. Hermione began attending Hogwarts in 1991 and was Sorted into Gryffindor House. She possessed a brilliant academic mind and proved to be a gifted student in almost every subject that she studied, to the point where she was nearly made a Ravenclaw by the Sorting Hat."
Hermione,Q5,P463,Gryffindor House,Q43229,"Minister Hermione Jean Granger (b. 19 September 1979) was an English Muggle-born witch born to Mr and Mrs Granger. At the age of eleven, she learned about her magical nature and was accepted into Hogwarts School of Witchcraft and Wizardry. Hermione began attending Hogwarts in 1991 and was Sorted into Gryffindor House. She possessed a brilliant academic mind and proved to be a gifted student in almost every subject that she studied, to the point where she was nearly made a Ravenclaw by the Sorting Hat."
Hermione,Q5,P533,was Sorted into Gryffindor House,Q1190554,"Minister Hermione Jean Granger (b. 19 September 1979) was an English Muggle-born witch born to Mr and Mrs Granger. At the age of eleven, she learned about her magical nature and was accepted into Hogwarts School of Witchcraft and Wizardry. Hermione began attending Hogwarts in 1991 and was Sorted into Gryffindor House. She possessed a brilliant academic mind and proved to be a gifted student in almost every subject that she studied, to the point where she was nearly made a Ravenclaw by the Sorting Hat."
Hermione,Q5,P9652,brilliant academic mind,Q105673273,"Minister Hermione Jean Granger (b. 19 September 1979) was an English Muggle-born witch born to Mr and Mrs Granger. At the age of eleven, she learned about her magical nature and was accepted into Hogwarts School of Witchcraft and Wizardry. Hermione began attending Hogwarts in 1991 and was Sorted into Gryffindor House. She possessed a brilliant academic mind and proved to be a gifted student in almost every subject that she studied, to the point where she was nearly made a Ravenclaw by the Sorting Hat."
Hermione,Q5,P9652,gifted student in almost every subject that she studied,Q105673273,"Minister Hermione Jean Granger (b. 19 September 1979) was an English Muggle-born witch born to Mr and Mrs Granger. At the age of eleven, she learned about her magical nature and was accepted into Hogwarts School of Witchcraft and Wizardry. Hermione began attending Hogwarts in 1991 and was Sorted into Gryffindor House. She possessed a brilliant academic mind and proved to be a gifted student in almost every subject that she studied, to the point where she was nearly made a Ravenclaw by the Sorting Hat."
Hermione,Q5,P533,nearly made a Ravenclaw,Q1190554,"Minister Hermione Jean Granger (b. 19 September 1979) was an English Muggle-born witch born to Mr and Mrs Granger. At the age of eleven, she learned about her magical nature and was accepted into Hogwarts School of Witchcraft and Wizardry. Hermione began attending Hogwarts in 1991 and was Sorted into Gryffindor House. She possessed a brilliant academic mind and proved to be a gifted student in almost every subject that she studied, to the point where she was nearly made a Ravenclaw by the Sorting Hat."
Sorting Hat,Q1274979,P1344,nearly made a Ravenclaw,Q1190554,"Minister Hermione Jean Granger (b. 19 September 1979) was an English Muggle-born witch born to Mr and Mrs Granger. At the age of eleven, she learned about her magical nature and was accepted into Hogwarts School of Witchcraft and Wizardry. Hermione began attending Hogwarts in 1991 and was Sorted into Gryffindor House. She possessed a brilliant academic mind and proved to be a gifted student in almost every subject that she studied, to the point where she was nearly made a Ravenclaw by the Sorting Hat."
Harry,Q5,P1344,battles of the Second Wizarding War,Q180684,"Harry played a significant role in many other battles of the Second Wizarding War. During what would have been his seventh year, he, Ron, and Hermione hunted down and destroyed Voldemort's Horcruxes. During the Battle of Hogwarts, Harry personally saw the deaths of Severus Snape and Fred Weasley while learning that Remus Lupin, Nymphadora Tonks, Colin Creevey, and many others had fallen in the battle as well. He encountered Voldemort and nearly sacrificed himself, knowing that his doing so was the only way to destroy the fragment of Voldemort's soul inside of him. While in limbo, after Voldemort cursed him in the forest clearing, Dumbledore gave Harry advice and background information on the Dark Lord. When told that he could choose to live or to ""move on,"" Harry ultimately chose to live. After he awoke, Harry confronted Voldemort and defeated him once and for all."
Horcruxes,Q223557,P127,Voldemort,Q5,"Harry played a significant role in many other battles of the Second Wizarding War. During what would have been his seventh year, he, Ron, and Hermione hunted down and destroyed Voldemort's Horcruxes. During the Battle of Hogwarts, Harry personally saw the deaths of Severus Snape and Fred Weasley while learning that Remus Lupin, Nymphadora Tonks, Colin Creevey, and many others had fallen in the battle as well. He encountered Voldemort and nearly sacrificed himself, knowing that his doing so was the only way to destroy the fragment of Voldemort's soul inside of him. While in limbo, after Voldemort cursed him in the forest clearing, Dumbledore gave Harry advice and background information on the Dark Lord. When told that he could choose to live or to ""move on,"" Harry ultimately chose to live. After he awoke, Harry confronted Voldemort and defeated him once and for all."
Harry,Q5,P1344,hunted down and destroyed Voldemort's Horcruxes,Q1190554,"Harry played a significant role in many other battles of the Second Wizarding War. During what would have been his seventh year, he, Ron, and Hermione hunted down and destroyed Voldemort's Horcruxes. During the Battle of Hogwarts, Harry personally saw the deaths of Severus Snape and Fred Weasley while learning that Remus Lupin, Nymphadora Tonks, Colin Creevey, and many others had fallen in the battle as well. He encountered Voldemort and nearly sacrificed himself, knowing that his doing so was the only way to destroy the fragment of Voldemort's soul inside of him. While in limbo, after Voldemort cursed him in the forest clearing, Dumbledore gave Harry advice and background information on the Dark Lord. When told that he could choose to live or to ""move on,"" Harry ultimately chose to live. After he awoke, Harry confronted Voldemort and defeated him once and for all."
Ron,Q5,P1344,hunted down and destroyed Voldemort's Horcruxes,Q1190554,"Harry played a significant role in many other battles of the Second Wizarding War. During what would have been his seventh year, he, Ron, and Hermione hunted down and destroyed Voldemort's Horcruxes. During the Battle of Hogwarts, Harry personally saw the deaths of Severus Snape and Fred Weasley while learning that Remus Lupin, Nymphadora Tonks, Colin Creevey, and many others had fallen in the battle as well. He encountered Voldemort and nearly sacrificed himself, knowing that his doing so was the only way to destroy the fragment of Voldemort's soul inside of him. While in limbo, after Voldemort cursed him in the forest clearing, Dumbledore gave Harry advice and background information on the Dark Lord. When told that he could choose to live or to ""move on,"" Harry ultimately chose to live. After he awoke, Harry confronted Voldemort and defeated him once and for all."
Hermione,Q5,P1344,hunted down and destroyed Voldemort's Horcruxes,Q1190554,"Harry played a significant role in many other battles of the Second Wizarding War. During what would have been his seventh year, he, Ron, and Hermione hunted down and destroyed Voldemort's Horcruxes. During the Battle of Hogwarts, Harry personally saw the deaths of Severus Snape and Fred Weasley while learning that Remus Lupin, Nymphadora Tonks, Colin Creevey, and many others had fallen in the battle as well. He encountered Voldemort and nearly sacrificed himself, knowing that his doing so was the only way to destroy the fragment of Voldemort's soul inside of him. While in limbo, after Voldemort cursed him in the forest clearing, Dumbledore gave Harry advice and background information on the Dark Lord. When told that he could choose to live or to ""move on,"" Harry ultimately chose to live. After he awoke, Harry confronted Voldemort and defeated him once and for all."
hunted down and destroyed Voldemort's Horcruxes,Q1190554,P533,Horcruxes,Q223557,"Harry played a significant role in many other battles of the Second Wizarding War. During what would have been his seventh year, he, Ron, and Hermione hunted down and destroyed Voldemort's Horcruxes. During the Battle of Hogwarts, Harry personally saw the deaths of Severus Snape and Fred Weasley while learning that Remus Lupin, Nymphadora Tonks, Colin Creevey, and many others had fallen in the battle as well. He encountered Voldemort and nearly sacrificed himself, knowing that his doing so was the only way to destroy the fragment of Voldemort's soul inside of him. While in limbo, after Voldemort cursed him in the forest clearing, Dumbledore gave Harry advice and background information on the Dark Lord. When told that he could choose to live or to ""move on,"" Harry ultimately chose to live. After he awoke, Harry confronted Voldemort and defeated him once and for all."
Harry,Q5,P1344,Battle of Hogwarts,Q180684,"Harry played a significant role in many other battles of the Second Wizarding War. During what would have been his seventh year, he, Ron, and Hermione hunted down and destroyed Voldemort's Horcruxes. During the Battle of Hogwarts, Harry personally saw the deaths of Severus Snape and Fred Weasley while learning that Remus Lupin, Nymphadora Tonks, Colin Creevey, and many others had fallen in the battle as well. He encountered Voldemort and nearly sacrificed himself, knowing that his doing so was the only way to destroy the fragment of Voldemort's soul inside of him. While in limbo, after Voldemort cursed him in the forest clearing, Dumbledore gave Harry advice and background information on the Dark Lord. When told that he could choose to live or to ""move on,"" Harry ultimately chose to live. After he awoke, Harry confronted Voldemort and defeated him once and for all."
Severus Snap,Q5,P533,deaths of Severus Snape and Fred Weasley,Q1190554,"Harry played a significant role in many other battles of the Second Wizarding War. During what would have been his seventh year, he, Ron, and Hermione hunted down and destroyed Voldemort's Horcruxes. During the Battle of Hogwarts, Harry personally saw the deaths of Severus Snape and Fred Weasley while learning that Remus Lupin, Nymphadora Tonks, Colin Creevey, and many others had fallen in the battle as well. He encountered Voldemort and nearly sacrificed himself, knowing that his doing so was the only way to destroy the fragment of Voldemort's soul inside of him. While in limbo, after Voldemort cursed him in the forest clearing, Dumbledore gave Harry advice and background information on the Dark Lord. When told that he could choose to live or to ""move on,"" Harry ultimately chose to live. After he awoke, Harry confronted Voldemort and defeated him once and for all."
Fred Weasley,Q5,P533,deaths of Severus Snape and Fred Weasley,Q1190554,"Harry played a significant role in many other battles of the Second Wizarding War. During what would have been his seventh year, he, Ron, and Hermione hunted down and destroyed Voldemort's Horcruxes. During the Battle of Hogwarts, Harry personally saw the deaths of Severus Snape and Fred Weasley while learning that Remus Lupin, Nymphadora Tonks, Colin Creevey, and many others had fallen in the battle as well. He encountered Voldemort and nearly sacrificed himself, knowing that his doing so was the only way to destroy the fragment of Voldemort's soul inside of him. While in limbo, after Voldemort cursed him in the forest clearing, Dumbledore gave Harry advice and background information on the Dark Lord. When told that he could choose to live or to ""move on,"" Harry ultimately chose to live. After he awoke, Harry confronted Voldemort and defeated him once and for all."
Remus Lupin,Q5,P533,"Remus Lupin, Nymphadora Tonks, Colin Creevey, and many others had fallen in the battle",Q1190554,"Harry played a significant role in many other battles of the Second Wizarding War. During what would have been his seventh year, he, Ron, and Hermione hunted down and destroyed Voldemort's Horcruxes. During the Battle of Hogwarts, Harry personally saw the deaths of Severus Snape and Fred Weasley while learning that Remus Lupin, Nymphadora Tonks, Colin Creevey, and many others had fallen in the battle as well. He encountered Voldemort and nearly sacrificed himself, knowing that his doing so was the only way to destroy the fragment of Voldemort's soul inside of him. While in limbo, after Voldemort cursed him in the forest clearing, Dumbledore gave Harry advice and background information on the Dark Lord. When told that he could choose to live or to ""move on,"" Harry ultimately chose to live. After he awoke, Harry confronted Voldemort and defeated him once and for all."
Nymphadora Tonks,Q5,P533,"Remus Lupin, Nymphadora Tonks, Colin Creevey, and many others had fallen in the battle",Q1190554,"Harry played a significant role in many other battles of the Second Wizarding War. During what would have been his seventh year, he, Ron, and Hermione hunted down and destroyed Voldemort's Horcruxes. During the Battle of Hogwarts, Harry personally saw the deaths of Severus Snape and Fred Weasley while learning that Remus Lupin, Nymphadora Tonks, Colin Creevey, and many others had fallen in the battle as well. He encountered Voldemort and nearly sacrificed himself, knowing that his doing so was the only way to destroy the fragment of Voldemort's soul inside of him. While in limbo, after Voldemort cursed him in the forest clearing, Dumbledore gave Harry advice and background information on the Dark Lord. When told that he could choose to live or to ""move on,"" Harry ultimately chose to live. After he awoke, Harry confronted Voldemort and defeated him once and for all."
Colin Creevey,Q5,P533,"Remus Lupin, Nymphadora Tonks, Colin Creevey, and many others had fallen in the battle",Q1190554,"Harry played a significant role in many other battles of the Second Wizarding War. During what would have been his seventh year, he, Ron, and Hermione hunted down and destroyed Voldemort's Horcruxes. During the Battle of Hogwarts, Harry personally saw the deaths of Severus Snape and Fred Weasley while learning that Remus Lupin, Nymphadora Tonks, Colin Creevey, and many others had fallen in the battle as well. He encountered Voldemort and nearly sacrificed himself, knowing that his doing so was the only way to destroy the fragment of Voldemort's soul inside of him. While in limbo, after Voldemort cursed him in the forest clearing, Dumbledore gave Harry advice and background information on the Dark Lord. When told that he could choose to live or to ""move on,"" Harry ultimately chose to live. After he awoke, Harry confronted Voldemort and defeated him once and for all."
Harry,Q5,P1344,encountered Voldemort,Q1190554,"Harry played a significant role in many other battles of the Second Wizarding War. During what would have been his seventh year, he, Ron, and Hermione hunted down and destroyed Voldemort's Horcruxes. During the Battle of Hogwarts, Harry personally saw the deaths of Severus Snape and Fred Weasley while learning that Remus Lupin, Nymphadora Tonks, Colin Creevey, and many others had fallen in the battle as well. He encountered Voldemort and nearly sacrificed himself, knowing that his doing so was the only way to destroy the fragment of Voldemort's soul inside of him. While in limbo, after Voldemort cursed him in the forest clearing, Dumbledore gave Harry advice and background information on the Dark Lord. When told that he could choose to live or to ""move on,"" Harry ultimately chose to live. After he awoke, Harry confronted Voldemort and defeated him once and for all."
Voldemort,Q5,P533,encountered Voldemort,Q1190554,"Harry played a significant role in many other battles of the Second Wizarding War. During what would have been his seventh year, he, Ron, and Hermione hunted down and destroyed Voldemort's Horcruxes. During the Battle of Hogwarts, Harry personally saw the deaths of Severus Snape and Fred Weasley while learning that Remus Lupin, Nymphadora Tonks, Colin Creevey, and many others had fallen in the battle as well. He encountered Voldemort and nearly sacrificed himself, knowing that his doing so was the only way to destroy the fragment of Voldemort's soul inside of him. While in limbo, after Voldemort cursed him in the forest clearing, Dumbledore gave Harry advice and background information on the Dark Lord. When told that he could choose to live or to ""move on,"" Harry ultimately chose to live. After he awoke, Harry confronted Voldemort and defeated him once and for all."
Harry,Q5,P1344,nearly sacrificed himself,Q180684,"Harry played a significant role in many other battles of the Second Wizarding War. During what would have been his seventh year, he, Ron, and Hermione hunted down and destroyed Voldemort's Horcruxes. During the Battle of Hogwarts, Harry personally saw the deaths of Severus Snape and Fred Weasley while learning that Remus Lupin, Nymphadora Tonks, Colin Creevey, and many others had fallen in the battle as well. He encountered Voldemort and nearly sacrificed himself, knowing that his doing so was the only way to destroy the fragment of Voldemort's soul inside of him. While in limbo, after Voldemort cursed him in the forest clearing, Dumbledore gave Harry advice and background information on the Dark Lord. When told that he could choose to live or to ""move on,"" Harry ultimately chose to live. After he awoke, Harry confronted Voldemort and defeated him once and for all."
Voldemort cursed him,Q180684,P276,forest clearing,Q115095765,"Harry played a significant role in many other battles of the Second Wizarding War. During what would have been his seventh year, he, Ron, and Hermione hunted down and destroyed Voldemort's Horcruxes. During the Battle of Hogwarts, Harry personally saw the deaths of Severus Snape and Fred Weasley while learning that Remus Lupin, Nymphadora Tonks, Colin Creevey, and many others had fallen in the battle as well. He encountered Voldemort and nearly sacrificed himself, knowing that his doing so was the only way to destroy the fragment of Voldemort's soul inside of him. While in limbo, after Voldemort cursed him in the forest clearing, Dumbledore gave Harry advice and background information on the Dark Lord. When told that he could choose to live or to ""move on,"" Harry ultimately chose to live. After he awoke, Harry confronted Voldemort and defeated him once and for all."
Voldemort,Q5,P1344,Voldemort cursed him,Q180684,"Harry played a significant role in many other battles of the Second Wizarding War. During what would have been his seventh year, he, Ron, and Hermione hunted down and destroyed Voldemort's Horcruxes. During the Battle of Hogwarts, Harry personally saw the deaths of Severus Snape and Fred Weasley while learning that Remus Lupin, Nymphadora Tonks, Colin Creevey, and many others had fallen in the battle as well. He encountered Voldemort and nearly sacrificed himself, knowing that his doing so was the only way to destroy the fragment of Voldemort's soul inside of him. While in limbo, after Voldemort cursed him in the forest clearing, Dumbledore gave Harry advice and background information on the Dark Lord. When told that he could choose to live or to ""move on,"" Harry ultimately chose to live. After he awoke, Harry confronted Voldemort and defeated him once and for all."
Harry,Q5,P533,Voldemort cursed him,Q180684,"Harry played a significant role in many other battles of the Second Wizarding War. During what would have been his seventh year, he, Ron, and Hermione hunted down and destroyed Voldemort's Horcruxes. During the Battle of Hogwarts, Harry personally saw the deaths of Severus Snape and Fred Weasley while learning that Remus Lupin, Nymphadora Tonks, Colin Creevey, and many others had fallen in the battle as well. He encountered Voldemort and nearly sacrificed himself, knowing that his doing so was the only way to destroy the fragment of Voldemort's soul inside of him. While in limbo, after Voldemort cursed him in the forest clearing, Dumbledore gave Harry advice and background information on the Dark Lord. When told that he could choose to live or to ""move on,"" Harry ultimately chose to live. After he awoke, Harry confronted Voldemort and defeated him once and for all."
Harry,Q5,P276,limbo,Q115095765,"Harry played a significant role in many other battles of the Second Wizarding War. During what would have been his seventh year, he, Ron, and Hermione hunted down and destroyed Voldemort's Horcruxes. During the Battle of Hogwarts, Harry personally saw the deaths of Severus Snape and Fred Weasley while learning that Remus Lupin, Nymphadora Tonks, Colin Creevey, and many others had fallen in the battle as well. He encountered Voldemort and nearly sacrificed himself, knowing that his doing so was the only way to destroy the fragment of Voldemort's soul inside of him. While in limbo, after Voldemort cursed him in the forest clearing, Dumbledore gave Harry advice and background information on the Dark Lord. When told that he could choose to live or to ""move on,"" Harry ultimately chose to live. After he awoke, Harry confronted Voldemort and defeated him once and for all."
Dumbledore,Q5,P1344,Dumbledore gave Harry advice and background information on the Dark Lord,Q1190554,"Harry played a significant role in many other battles of the Second Wizarding War. During what would have been his seventh year, he, Ron, and Hermione hunted down and destroyed Voldemort's Horcruxes. During the Battle of Hogwarts, Harry personally saw the deaths of Severus Snape and Fred Weasley while learning that Remus Lupin, Nymphadora Tonks, Colin Creevey, and many others had fallen in the battle as well. He encountered Voldemort and nearly sacrificed himself, knowing that his doing so was the only way to destroy the fragment of Voldemort's soul inside of him. While in limbo, after Voldemort cursed him in the forest clearing, Dumbledore gave Harry advice and background information on the Dark Lord. When told that he could choose to live or to ""move on,"" Harry ultimately chose to live. After he awoke, Harry confronted Voldemort and defeated him once and for all."
